Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
28.1,28.1,26.65,27.5,27.56,21600.0,17.0,595260.0,18000.0,83.33,1.45,-0.6
28.0,28.0,27.0,27.6,27.33,42000.0,19.0,1147860.0,39600.0,94.29,1.0,-0.4
27.6,28.9,26.5,27.05,27.29,62400.0,31.0,1702980.0,51600.0,82.69,2.4,-0.55
26.15,26.15,26.15,26.15,26.15,2400.0,2.0,62760.0,2400.0,100.0,0.0,0.0
26.0,26.0,26.0,26.0,26.0,3600.0,3.0,93600.0,3600.0,100.0,0.0,0.0
26.45,26.5,26.0,26.0,26.25,4800.0,4.0,126000.0,4800.0,100.0,0.5,-0.45
26.0,27.5,26.0,26.65,26.45,14400.0,11.0,380820.0,12000.0,83.33,1.5,0.65
26.7,30.95,26.65,30.1,28.64,98400.0,49.0,2818260.0,69600.0,70.73,4.3,3.4
30.0,30.1,27.4,28.5,29.06,64800.0,39.0,1882920.0,56400.0,87.04,2.7,-1.5
28.3,30.05,27.65,29.95,29.44,63600.0,32.0,1872240.0,56400.0,88.68,2.4,1.65
29.5,30.45,28.8,29.0,29.38,58800.0,13.0,1727700.0,52800.0,89.8,1.65,-0.5
29.05,29.05,29.0,29.0,29.03,3600.0,3.0,104520.0,3600.0,100.0,0.05,-0.05
28.15,32.0,28.0,31.95,29.9,160800.0,68.0,4807980.0,127200.0,79.1,4.0,3.8
33.25,34.5,31.15,33.9,32.65,74400.0,45.0,2429400.0,38400.0,51.61,3.35,0.65
34.0,35.85,32.8,35.25,34.7,66000.0,37.0,2290140.0,58800.0,89.09,3.05,1.25
35.45,36.0,33.35,34.85,35.09,130800.0,63.0,4589160.0,116400.0,88.99,2.65,-0.6
36.0,36.0,34.3,34.9,35.33,28800.0,19.0,1017360.0,26400.0,91.67,1.7,-1.1
34.25,34.85,33.1,33.5,34.03,28800.0,24.0,979980.0,21600.0,75.0,1.75,-0.75
34.9,34.9,32.05,33.2,32.98,15600.0,13.0,514500.0,10800.0,69.23,2.85,-1.7
34.9,34.9,32.9,32.9,34.32,28800.0,10.0,988440.0,26400.0,91.67,2.0,-2.0
33.65,33.75,33.0,33.25,33.4,13200.0,11.0,440880.0,10800.0,81.82,0.75,-0.4
34.0,34.0,32.3,32.8,33.04,9600.0,7.0,317160.0,8400.0,87.5,1.7,-1.2
33.3,34.0,32.7,32.7,33.43,7200.0,5.0,240720.0,6000.0,83.33,1.3,-0.6
32.5,33.0,32.5,33.0,32.92,7200.0,5.0,237000.0,7200.0,100.0,0.5,0.5
33.9,33.9,31.9,32.25,32.68,3600.0,3.0,117660.0,2400.0,66.67,2.0,-1.65
31.4,33.0,31.4,31.6,31.86,18000.0,13.0,573420.0,14400.0,80.0,1.6,0.2
32.0,33.0,32.0,32.1,32.28,4800.0,4.0,154920.0,3600.0,75.0,1.0,0.1
32.4,33.0,31.8,32.7,32.59,20400.0,12.0,664800.0,16800.0,82.35,1.2,0.3
31.8,32.95,31.8,32.95,32.38,2400.0,2.0,77700.0,1200.0,50.0,1.15,1.15
32.95,32.95,32.3,32.6,32.61,14400.0,9.0,469560.0,14400.0,100.0,0.65,-0.35
33.0,33.9,32.0,32.15,32.86,66000.0,42.0,2168580.0,55200.0,83.64,1.9,-0.85
32.4,32.85,31.85,31.95,32.36,32400.0,23.0,1048500.0,30000.0,92.59,1.0,-0.45
33.5,33.5,32.15,32.15,32.94,7200.0,4.0,237180.0,7200.0,100.0,1.35,-1.35
31.6,32.4,31.6,32.0,31.99,7200.0,5.0,230340.0,4800.0,66.67,0.8,0.4
31.3,32.25,31.3,32.0,31.74,14400.0,12.0,457080.0,9600.0,66.67,0.95,0.7
31.5,33.2,31.5,32.8,32.67,8400.0,7.0,274440.0,8400.0,100.0,1.7,1.3
32.05,32.5,31.3,32.05,31.84,19200.0,13.0,611280.0,13200.0,68.75,1.2,0.0
32.0,32.0,31.0,31.1,31.62,7200.0,5.0,227640.0,7200.0,100.0,1.0,-0.9
31.45,31.5,31.45,31.5,31.47,3600.0,3.0,113280.0,3600.0,100.0,0.05,0.05
32.1,32.2,29.75,30.85,30.68,79200.0,53.0,2429460.0,58800.0,74.24,2.45,-1.25
32.15,32.2,30.85,31.45,31.5,15600.0,11.0,491340.0,14400.0,92.31,1.35,-0.7
